จังหวัด,เขตเลือกตั้งที่,ลำดับคะแนน,พรรคการเมือง,คะแนนเสียง,คะแนนเสียง(ร้อยละ),ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,,,Last Update:
กรุงเทพมหานคร,3,10,เสรีรวมไทย,398,0.53062,78327,63.89972,75007,1381,1939,206,94.93088,FALSE,,,
กรุงเทพมหานคร,4,1,ประชาชน,31995,44.89707,74571,57.60469,71263,1586,1722,187,94.92386,FALSE,,,
กรุงเทพมหานคร,4,2,ภูมิใจไทย,14666,20.5801,74571,57.60469,71263,1586,1722,187,94.92386,FALSE,,,
กรุงเทพมหานคร,4,3,ประชาธิปัตย์,10501,14.73556,74571,57.60469,71263,1586,1722,187,94.92386,FALSE,,,
กรุงเทพมหานคร,4,4,เพื่อไทย,5016,7.03872,74571,57.60469,71263,1586,1722,187,94.92386,FALSE,,,
กรุงเทพมหานคร,4,5,รวมไทยสร้างชาติ,1538,2.1582,74571,57.60469,71263,1586,1722,187,94.92386,FALSE,,,
กรุงเทพมหานคร,4,6,ไทยภักดี,1347,1.89018,74571,57.60469,71263,1586,1722,187,94.92386,FALSE,,,
กรุงเทพมหานคร,4,7,เศรษฐกิจ,1256,1.76249,74571,57.60469,71263,1586,1722,187,94.92386,FALSE,,,
กรุงเทพมหานคร,4,8,กล้าธรรม,807,1.13242,74571,57.60469,71263,1586,1722,187,94.92386,FALSE,,,
กรุงเทพมหานคร,4,9,ไทยสร้างไทย,595,0.83494,74571,57.60469,71263,1586,1722,187,94.92386,FALSE,,,
กรุงเทพมหานคร,4,10,ไทยก้าวใหม่,508,0.71285,74571,57.60469,71263,1586,1722,187,94.92386,FALSE,,,
กรุงเทพมหานคร,5,1,ประชาชน,43941,49.74021,91822,68.5157,88341,1372,2109,206,94.93088,FALSE,,,
กรุงเทพมหานคร,5,2,ภูมิใจไทย,18375,20.80008,91822,68.5157,88341,1372,2109,206,94.93088,FALSE,,,
กรุงเทพมหานคร,5,3,ประชาธิปัตย์,9299,10.52626,91822,68.5157,88341,1372,2109,206,94.93088,FALSE,,,
กรุงเทพมหานคร,5,4,เพื่อไทย,7229,8.18306,91822,68.5157,88341,1372,2109,206,94.93088,FALSE,,,
กรุงเทพมหานคร,5,5,รวมไทยสร้างชาติ,2129,2.40998,91822,68.5157,88341,1372,2109,206,94.93088,FALSE,,,
กรุงเทพมหานคร,5,6,ไทยภักดี,1477,1.67193,91822,68.5157,88341,1372,2109,206,94.93088,FALSE,,,
