จังหวัด,เขตเลือกตั้งที่,ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,เห็นชอบ,ไม่เห็นชอบ,ไม่แสดงความคิดเห็น,ร้อยละเห็นชอบ,ร้อยละไม่เห็นชอบ,ร้อยละไม่แสดงความคิดเห็น,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,,Last Update:
เชียงราย,1,95806,67.62999,93576,2230,65903,20328,7345,70.42725,21.72352,7.84923,228,94.60581,FALSE,,
เชียงราย,2,94496,71.20971,91876,2620,66194,18516,7166,72.04711,20.15325,7.79964,250,94.69697,FALSE,,
เชียงราย,3,94034,67.20266,90714,3320,61801,21018,7895,68.1273,23.16952,8.70318,306,94.73684,FALSE,,
เชียงราย,4,93803,66.21373,91341,2462,63450,20547,7344,69.46497,22.49483,8.0402,348,94.82289,FALSE,,
เชียงราย,5,87831,66.50841,85441,2390,59276,19721,6444,69.37653,23.08142,7.54205,282,94.94949,FALSE,,
เชียงราย,6,74965,59.1991,72625,2340,51560,14942,6123,70.99484,20.57418,8.43098,229,94.6281,FALSE,,
เชียงราย,7,87052,64.79928,84289,2763,58449,18383,7457,69.34357,21.80949,8.84694,281,94.93243,FALSE,,
เชียงใหม่,1,119595,86.79323,118059,1536,91590,20653,5816,77.57985,17.4938,4.92635,221,94.84979,FALSE,,
เชียงใหม่,2,102276,71.14357,100201,2075,72757,19683,7761,72.61105,19.64352,7.74543,267,94.68085,FALSE,,
เชียงใหม่,3,98923,71.06895,96802,2121,70349,18744,7709,72.67309,19.36324,7.96368,275,94.82759,FALSE,,
เชียงใหม่,4,103125,71.21991,101040,2085,72508,21242,7290,71.76168,21.02336,7.21496,228,94.60581,FALSE,,
เชียงใหม่,5,93311,70.04331,90800,2511,63109,19415,8276,69.5033,21.38216,9.11454,279,94.89796,FALSE,,
เชียงใหม่,6,80906,63.51547,77966,2940,53267,17973,6726,68.32081,23.05236,8.62684,273,94.79167,FALSE,,
เชียงใหม่,7,88258,66.40533,85112,3146,57273,20497,7342,67.29133,24.08239,8.62628,273,94.79167,FALSE,,
เชียงใหม่,8,107540,76.19385,104926,2614,77926,18791,8209,74.26758,17.90881,7.82361,308,94.76923,FALSE,,
เชียงใหม่,9,97022,76.90698,93772,3250,65854,19731,8187,70.22779,21.04146,8.73075,277,94.86301,FALSE,,
เชียงใหม่,10,87813,72.02805,84800,3013,60971,17564,6265,71.89976,20.71226,7.38797,264,94.96403,FALSE,,
เพชรบุรี,1,91841,73.17716,89017,2824,44036,35296,9685,49.4692,39.65085,10.87994,226,94.95798,FALSE,,
เพชรบุรี,2,97010,69.62807,93504,3506,47972,34351,11181,51.30476,36.73747,11.95778,240,94.86166,FALSE,,
เพชรบุรี,3,95958,72.94025,92904,3054,46000,35700,11204,49.51348,38.42676,12.05976,265,94.98208,FALSE,,
เพชรบูรณ์,1,78850,60.12567,76477,2373,42224,26245,8008,55.21137,34.31751,10.47112,228,95,TRUE,,
เพชรบูรณ์,2,89266,68.09988,86206,3060,45339,32204,8663,52.59379,37.35703,10.04918,274,94.80969,FALSE,,
เพชรบูรณ์,3,82167,64.87261,79471,2696,42474,28347,8650,53.44591,35.66962,10.88447,282,94.94949,FALSE,,
เพชรบูรณ์,4,67970,53.89013,65608,2362,36933,21809,6866,56.29344,33.24137,10.46519,279,94.89796,FALSE,,
เพชรบูรณ์,5,71389,53.66061,69240,2149,39589,22423,7228,57.17649,32.38446,10.43905,270,94.73684,FALSE,,
